Priority (Assigned by MITRE/ATT&CK),Technique,Number of Mapped Controls,Controls
10,T1003.003,17,SI-3|AC-6|SC-39|CP-9|CM-2|SI-12|AC-5|AC-2|CM-6|SI-7|SC-28|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4
10,T1003.004,14,SI-3|AC-6|SC-39|CM-2|AC-5|AC-2|CM-6|SC-28|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4
10,T1003.005,17,SI-3|AC-6|SC-39|CM-2|IA-4|AC-5|AC-2|CM-6|SC-28|CM-5|CM-7|CA-7|IA-2|AC-3|IA-5|SI-4|AC-4
10,T1003.006,16,SI-3|AC-6|SC-39|CM-2|IA-4|AC-5|AC-2|CM-6|SC-28|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4|AC-4
10,T1003.007,14,SI-3|AC-6|SC-39|CM-2|AC-5|AC-2|CM-6|SC-28|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4
10,T1003.008,14,SI-3|AC-6|SC-39|CM-2|AC-5|AC-2|CM-6|SC-28|CM-5|CA-7|IA-2|AC-3|IA-5|SI-4
11,T1218,18,SI-16|AC-6|SI-3|CM-8|CM-2|AC-5|RA-5|AC-2|CM-6|SI-4|SI-7|CM-5|CM-7|CA-7|IA-2|AC-3|SI-10|CM-11
11,T1218.001,10,SI-16|SI-3|CM-2|CM-6|SI-4|SI-7|SC-18|CM-7|SI-10|CM-11
11,T1218.002,11,SI-16|SI-3|CM-2|CM-6|SI-4|SI-7|CM-7|CA-7|AC-3|SI-10|CM-11
11,T1218.003,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
11,T1218.004,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
11,T1218.005,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
11,T1218.007,9,AC-6|CM-2|AC-5|AC-2|CM-6|CM-5|CM-7|IA-2|AC-3
11,T1218.008,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
11,T1218.009,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
11,T1218.010,4,SI-10|CA-7|SI-4|SI-7
11,T1218.011,4,SI-10|CA-7|SI-4|SI-7
11,T1218.012,15,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SC-7|CA-7|AC-3|SI-10|CM-11|AC-4
11,T1218.013,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
11,T1218.014,11,SI-16|SI-3|CM-8|CM-2|RA-5|CM-6|SI-4|SI-7|CM-7|SI-10|CM-11
12,T1548,18,SI-16|AC-6|SI-3|CM-8|CM-2|SI-12|AC-5|RA-5|AC-2|CM-6|SI-7|SC-18|CM-5|CM-7|CA-7|IA-2|AC-3|SI-4
12,T1548.001,3,CM-7|CM-6|SI-4
12,T1548.002,11,AC-6|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|CM-5|IA-2|AC-3|SI-4
12,T1548.003,12,AC-6|CM-2|AC-5|RA-5|AC-2|CM-6|CM-5|CM-7|CA-7|IA-2|AC-3|SI-4
12,T1548.004,10,SI-16|SI-3|CM-8|CM-2|SI-12|CM-6|SI-7|SC-18|CM-7|SI-4
13,T1105,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
14,T1027,6,SI-3|CM-2|SI-2|CM-6|SI-7|SI-4
14,T1027.002,4,SI-3|SI-2|SI-4|SI-7
15,T1090,11,SI-3|SC-8|CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
15,T1090.001,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
15,T1090.002,8,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|SI-4|AC-4
15,T1090.003,7,CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|AC-4
15,T1090.004,1,SC-8
16,T1204,12,SI-3|CM-2|SI-2|CM-6|SI-7|CM-7|SC-7|CA-7|SI-10|SI-8|SI-4|AC-4
16,T1204.001,10,SI-3|CM-2|SI-2|CM-6|CM-7|SC-7|CA-7|SI-8|SI-4|AC-4
16,T1204.002,11,SI-3|CM-2|CM-6|SI-7|CM-7|SC-7|CA-7|SI-10|SI-8|SI-4|AC-4
16,T1204.003,15,SI-3|CM-2|SR-11|RA-5|SI-2|CM-6|SR-5|SI-7|SR-6|CM-7|SC-7|CA-7|SI-8|SI-4|AC-4
17,T1078,20,AC-2|CM-6|SC-28|IA-12|AC-3|SI-4|AC-6|SR-6|IA-2|SA-3|AC-5|SA-4|SA-15|CM-5|SA-10|SA-11|SA-8|RA-5|CA-7|IA-5
17,T1078.001,12,AC-6|SA-8|AC-5|SA-4|AC-2|SA-15|SC-28|CA-7|SA-10|SA-11|SA-3|SI-4
17,T1078.002,12,AC-6|AC-20|AC-5|AC-2|AC-7|CM-6|CM-5|IA-12|IA-2|AC-3|IA-5|SI-4
17,T1078.003,17,AC-6|SA-3|SA-8|AC-5|SA-4|AC-2|CM-6|SA-15|SC-28|CM-5|CA-7|IA-12|SA-10|IA-2|AC-3|SA-11|SI-4
17,T1078.004,20,AC-2|CM-6|SC-28|IA-12|AC-3|SI-4|AC-6|IA-2|SA-3|AC-20|AC-5|SA-4|AC-7|SA-15|CM-5|SA-10|SA-11|SA-8|CA-7|IA-5
18,T1095,10,SI-3|CM-2|CM-6|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
19,T1112,2,AC-6|CM-7
20,T1569,14,SI-3|AC-6|CM-2|AC-5|AC-2|CM-6|SI-4|SI-7|CM-5|CM-7|CA-7|IA-2|AC-3|CM-11
20,T1569.001,7,AC-6|AC-5|AC-2|CM-5|IA-2|AC-3|CM-11
20,T1569.002,13,SI-3|AC-6|CM-2|AC-5|AC-2|CM-6|SI-7|CM-5|CM-7|CA-7|IA-2|AC-3|SI-4
21,T1190,24,AC-2|CM-6|SI-7|AC-3|SI-4|AC-6|CM-8|SC-7|IA-2|AC-4|SI-3|AC-5|SC-18|CM-5|CM-7|SI-10|SC-39|SA-8|SC-2|RA-5|SI-2|CA-2|CA-7|IA-8
22,T1552,30,IA-4|AC-2|CM-6|SI-7|SC-28|AC-3|SI-4|AC-6|CM-2|SC-7|IA-2|AC-17|AC-4|AC-20|SI-12|AC-5|SA-15|IA-3|CM-5|CM-7|SA-11|SI-10|SC-4|AC-19|RA-5|SI-2|AC-18|CA-7|IA-5|SC-12
22,T1552.001,17,AC-6|CM-2|AC-5|RA-5|AC-2|CM-6|SI-4|SA-15|SC-28|SC-7|CA-7|SC-4|IA-2|SA-11|IA-5|SC-12|AC-4
22,T1552.002,17,AC-6|AC-5|RA-5|AC-2|CM-6|SI-4|SA-15|SC-28|CM-5|CA-7|SC-4|IA-2|AC-3|IA-5|AC-17|SA-11|SC-12
22,T1552.003,4,SC-28|CM-7|CM-6|SI-4
22,T1552.004,20,AC-2|CM-6|SI-7|SC-28|SI-4|CM-2|SC-7|IA-2|AC-17|AC-20|SI-12|SA-15|SA-11|SC-4|AC-19|RA-5|AC-18|CA-7|IA-5|SC-12
22,T1552.005,11,AC-20|IA-4|CM-6|IA-3|CM-7|SC-7|CA-7|AC-3|SI-10|SI-4|AC-4
22,T1552.006,12,AC-6|CM-2|AC-5|RA-5|AC-2|SI-2|CM-6|SA-15|IA-2|SA-11|IA-5|SI-4
22,T1552.007,12,AC-6|SC-8|AC-5|AC-2|CM-6|CM-5|CM-7|SC-7|IA-2|AC-3|AC-17|AC-4
23,T1070,18,SI-3|AC-6|CP-9|AC-19|CM-2|SI-12|AC-5|CP-7|AC-2|CP-6|CM-6|AC-18|SI-4|SI-7|CA-7|AC-3|AC-17|SC-4
23,T1070.001,18,SI-3|AC-6|CP-9|AC-19|CM-2|SI-12|AC-5|CP-7|AC-2|CP-6|CM-6|AC-18|SI-4|SI-7|CA-7|AC-3|AC-17|SC-4
23,T1070.002,18,SI-3|AC-6|CP-9|AC-19|CM-2|SI-12|AC-5|CP-7|AC-2|CP-6|CM-6|AC-18|SI-4|SI-7|CA-7|AC-3|AC-17|SC-4
23,T1070.003,10,SI-3|AC-6|CM-2|AC-5|AC-2|CM-6|SI-7|CA-7|AC-3|SI-4
24,T1219,12,SI-3|CM-2|CM-6|SI-7|CM-7|SC-7|CA-7|AC-3|SI-10|AC-17|SI-4|AC-4
25,T1071,13,SI-3|CM-2|SC-21|CM-6|SC-22|SC-20|CM-7|SC-23|CA-7|SC-7|SC-10|SI-4|AC-4
25,T1071.001,13,SI-3|CM-2|SC-21|CM-6|SC-22|SC-20|CM-7|SC-23|CA-7|SC-7|SC-10|SI-4|AC-4
25,T1071.002,13,SI-3|CM-2|SC-21|CM-6|SC-22|SC-20|CM-7|SC-23|CA-7|SC-7|SC-10|SI-4|AC-4
25,T1071.003,13,SI-3|CM-2|SC-21|CM-6|SC-22|SC-20|CM-7|SC-23|CA-7|SC-7|SC-10|SI-4|AC-4
25,T1071.004,15,SI-3|CM-2|SC-21|CM-6|SC-22|SC-20|CM-7|SC-23|CA-7|SC-7|AC-3|SI-10|SC-10|SI-4|AC-4
26,T1072,22,AC-2|CM-6|SI-7|AC-3|SI-4|AC-6|CM-8|CM-2|SC-7|AC-12|IA-2|AC-4|SI-3|AC-20|AC-5|CM-5|CM-7|SI-2|CA-7|IA-5|SC-17|SC-12
27,T1068,18,SI-3|AC-6|SC-39|CM-8|CM-2|SC-2|RA-5|AC-2|SI-2|CM-6|SI-5|SI-7|SC-18|CM-7|SC-7|CA-7|SI-4|AC-4
28,T1106,7,SI-3|AC-6|CM-2|SI-2|CM-6|CM-7|SI-4
29,T1557,21,CM-6|SI-7|AC-3|SI-4|SC-8|CM-8|CM-2|SC-7|AC-17|AC-4|SI-3|AC-20|SI-12|CM-7|SC-23|SI-10|SC-4|AC-19|RA-5|AC-18|CA-7
29,T1557.001,13,SI-3|CM-8|CM-2|SC-8|CM-6|CM-7|SC-23|CA-7|SC-7|AC-3|SI-10|SI-4|AC-4
